<<<<<<< HEAD
Nombre;Ataque;Defensa;VidaMax;Vida;Dinero;EstadoDeAnimo;NombreDeClan;Habilidad1;Habilidad2;IdPartida;
Lestat;10;8;30;30;1000;0;Tremere;Dominación;Celeridad;idpartida;
Abby;5;4;15;10;500;2;;;idpartida;
=======
﻿Nombre;Ataque;Defensa;VidaMax;Vida;Dinero;EstadoDeAnimo;NombreDeClan;Habilidad1;Habilidad2;IdPartida
Camarera;10;8;30;30;1000;1;Humano;;;0
ClienteBar;5;4;15;10;500;1;Humano;;;0
DueñoBar;5;4;15;10;500;1;Humano;;;0
DueñaMotel;5;4;15;10;500;1;Tremere;Dominacion;Auspex;0
Camarero;5;4;15;10;500;1;Tremere;Presencia;Auspex;0
Vidente;5;4;15;10;500;1;Ventrue;Celeridad;Auspex;0
ClientePub;5;4;15;10;500;1;Humano;;;0
Nosferatu;5;4;15;10;500;1;Nosferatu;Animalismo;Protean;0
Ramonchu;5;4;15;10;500;1;Ventrue;Celeridad;Auspex;0
Nestor;10;10;500;500;10000;0;Brujah;Presencia;Fortaleza;1
Nestor;10;10;500;50;10000;0;Brujah;Presencia;Fortaleza;2
>>>>>>> 9cea0c64d5d58163fdeb4091f20fb321fa52c576
