IdEscena;Imagen;NombrePersonaje
0;/Imagenes/Cartel.jpg;No
1;/Imagenes/Bar.jpg;No
2;/Imagenes/Camarera.jpg;Camarera
3;/Imagenes/Camarera.jpg;Camarera
4;/Imagenes/Camarera.jpg;Camarera
5;/Imagenes/Camarera.jpg;Camarera
6;/Imagenes/Camarera.jpg;Camarera
7;/Imagenes/Camarera.jpg;Camarera
8;/Imagenes/Camarera.jpg;Camarera
9;/Imagenes/Camarera.jpg;Camarera
10;/Imagenes/Cliente.jpg;ClienteBar
11;/Imagenes/Cliente.jpg;ClienteBar
12;/Imagenes/Cliente.jpg;ClienteBar
13;/Imagenes/Cliente.jpg;ClienteBar
14;/Imagenes/Cliente.jpg;ClienteBar
15;/Imagenes/Dueño.jpg;Dueño
16;/Imagenes/Dueño.jpg;Dueño
17;/Imagenes/Dueño.jpg;Dueño
18;/Imagenes/Dueño.jpg;Dueño
19;/Imagenes/Dueño.jpg;Dueño
20;/Imagenes/Dueño.jpg;Dueño
21;/Imagenes/Dueño.jpg;Dueño
22;/Imagenes/Dueño.jpg;Dueño
23;/Imagenes/Dueño.jpg;Dueño
24;/Imagenes/DueñaMotel.jpg;DueñaMotel
25;/Imagenes/DueñaMotel.jpg;DueñaMotel
26;/Imagenes/DueñaMotel.jpg;DueñaMotel
27;/Imagenes/DueñaMotel.jpg;DueñaMotel
28;/Imagenes/DueñaMotel.jpg;DueñaMotel
29;/Imagenes/CamareroPubPub.jpg;CamareroPub
30;/Imagenes/CamareroPubPub.jpg;CamareroPub
31;/Imagenes/CamareroPubPub.jpg;CamareroPub
32;/Imagenes/CamareroPubPub.jpg;CamareroPub
33;/Imagenes/CamareroPubPub.jpg;CamareroPub
34;/Imagenes/Vidente.jpg;Vidente
35;/Imagenes/Vidente.jpg;Vidente
36;/Imagenes/Vidente.jpg;Vidente
37;/Imagenes/Reservado.jpg;No
38;/Imagenes/Vidente.jpg;Vidente
39;/Imagenes/ClientePub.jpg;ClientePub
40;/Imagenes/Nosferatu.jpg;Nosferatu
41;/Imagenes/Nosferatu.jpg;Nosferatu
42;/Imagenes/Nosferatu.jpg;Nosferatu
43;/Imagenes/Nosferatu.jpg;Nosferatu
44;/Imagenes/Periodico.jpg;No
45;/Imagenes/Periodico.jpg;No
46;/Imagenes/Periodico.jpg;No
47;/Imagenes/Periodico.jpg;No
48;/Imagenes/CasaColina.jpg;No
49;/Imagenes/CasaColina.jpg;No
50;/Imagenes/CasaColina.jpg;No
51;/Imagenes/CasaColina.jpg;No
52;/Imagenes/CasaColina.jpg;No
53;/Imagenes/CasaColina.jpg;No
54;/Imagenes/CasaColina.jpg;Ramonchu 
55;/Imagenes/CasaColina.jpg;Ramonchu 
56;/Imagenes/CasaColina.jpg;Ramonchu 
